# col1        col2        col3                  
  3750.0007   1896.0081   0.022965711552279555  
  3750.8635   1896.0081   0.022965711552279555  
  3751.7283   1896.0081   0.022965711552279555  
  3752.5916   1896.0081   0.022965711552279555  
  3753.4548   1896.0081   0.022965711552279555  
  3754.3203   1896.0081   0.022965711552279555  
  3755.1838   1896.0081   0.022965711552279555  
  3756.0498   1896.0081   0.022965711552279555  
  3756.9141   1896.0081   0.022965711552279555  
  3757.7803   1896.0081   0.022965711552279555  
  3758.6448   1896.0081   0.022965711552279555  
  3759.5095   1896.0081   0.022965711552279555  
  3760.3765   1896.0081   0.022965711552279555  
  3761.2415   1896.0081   0.022965711552279555  
  3762.1086   1896.0081   0.022965711552279555  
  3762.9741   1896.0081   0.022965711552279555  
  3763.842    1896.0081   0.022965711552279555  
  3764.7078   1896.0081   0.022965711552279555  
  3765.574    1896.0081   0.022965711552279555  
  3766.4421   1896.0081   0.022965711552279555  
  3767.3086   1896.0081   0.022965711552279555  
  3768.1775   1896.0081   0.022965711552279555  
  3769.0442   1896.0081   0.022965711552279555  
  3769.9133   1896.0081   0.022965711552279555  
  3770.7808   1896.0081   0.022965711552279555  
  3771.6482   1896.0081   0.022965711552279555  
  3772.5178   1896.0081   0.022965711552279555  
  3773.3857   1896.0081   0.022965711552279555  
  3774.2559   1896.0081   0.022965711552279555  
  3775.1243   1896.0081   0.022965711552279555  
  3775.9946   1896.0081   0.022965711552279555  
  3776.8633   1896.0081   0.022965711552279555  
  3777.7322   1896.0081   0.022965711552279555  
  3778.6033   1896.0081   0.022965711552279555  
  3779.4727   1896.0081   0.022965711552279555  
  3780.3442   1896.0081   0.022965711552279555  
  3781.2139   1896.0081   0.022965711552279555  
  3782.0857   1896.0081   0.022965711552279555  
  3782.9558   1896.0081   0.022965711552279555  
  3783.8262   1896.0081   0.022965711552279555  
  3784.6987   1896.0081   0.022965711552279555  
  3785.5693   1896.0081   0.022965711552279555  
  3786.4421   1896.0081   0.022965711552279555  
  3787.3132   1896.0081   0.022965711552279555  
  3788.1865   1896.0081   0.022965711552279555  
  3789.0581   1896.0081   0.022965711552279555  
  3789.9297   1896.0081   0.022965711552279555  
  3790.8037   1896.0081   0.022965711552279555  
  3791.6758   1896.0081   0.022965711552279555  
  3792.55     1896.0081   0.022965711552279555  
  3793.4226   1896.0081   0.022965711552279555  
  3794.2974   1896.0081   0.022965711552279555  
  3795.1702   1896.0081   0.022965711552279555  
  3796.0432   1896.0081   0.022965711552279555  
  3796.9187   2657.167    0.01939950170963459   
