name_spec,Z,rAGN_Cont_5100,rAGN_stars_5100,rAGN_Cont_6200,rAGN_stars_6200,agn_slope,stars_Cont_5100,stars_Cont_6200,PLATE,MJD,FIBERID
spec-0991-52707-0061.fits,0.12636454,0.7363421110136283,2.79279377470738,0.6873255771091387,2.1982149059536256,-1.2180383205981538,0.26365788898637166,0.3126744228908612,0991,52707,0061
spec-0392-51793-0297.fits,0.091724776,0.6009623166611077,1.506028983610367,0.5172623545758421,1.0715185763508233,-1.0798322487828258,0.39903768333889245,0.48273764542415787,0392,51793,0297
spec-2285-53700-0330.fits,0.11503493,0.3115464638146784,0.4525308498536272,0.3098576575823032,0.4489764481002779,-0.0041513011156274,0.6884535361853215,0.6901423424176967,2285,53700,0330
spec-1315-52791-0403.fits,0.023108274,0.4529167900985738,0.8278755076036434,0.3681978054848832,0.5827738628978022,-1.7020563729053162,0.5470832099014262,0.6318021945151167,1315,52791,0403
spec-2759-54534-0158.fits,0.04994078,0.273929902981024,0.3772774889169756,0.2395570688842226,0.3150230728461463,-0.0055124324517939,0.7260700970189756,0.7604429311157775,2759,54534,0158
spec-1172-52759-0391.fits,0.070516,0.3965059306726839,0.6570171122222442,0.346711283421598,0.5307167790031604,-1.1303855720464138,0.6034940693273159,0.6532887165784019,1172,52759,0391
spec-0456-51910-0306.fits,0.08221846,0.4362407468654246,0.7738068057240195,0.3491479289571293,0.5364474425005423,-2.997218032915878,0.5637592531345752,0.6508520710428708,0456,51910,0306
spec-2015-53819-0251.fits,0.0010636672,0.3338028651113425,0.5010571910777303,0.3400015359750872,0.5151550412733282,-0.518951532722573,0.6661971348886575,0.6599984640249128,2015,53819,0251
spec-1724-53859-0627.fits,0.04175024,0.3238339676810305,0.4789267017309552,0.3659502584088594,0.5771633271082351,-0.0068053376364963,0.6761660323189694,0.6340497415911406,1724,53859,0627
spec-2117-54115-0468.fits,0.13715185,0.7814331033227647,3.575258262813386,0.6901700291671905,2.227576716713504,-1.2986683723669654,0.2185668966772352,0.3098299708328095,2117,54115,0468
spec-2878-54465-0203.fits,0.09239089,0.2850832452103699,0.3987642523418799,0.2962704548074095,0.4210004494359105,-0.0025508690881814,0.7149167547896299,0.7037295451925906,2878,54465,0203
spec-2794-54537-0182.fits,0.12542889,1.0,1.0,1.0,1.0,-0.8684728539252418,1.0,1.0,2794,54537,0182
spec-1233-52734-0185.fits,0.1248446,0.514935119973309,1.0615798858597525,0.4321835095015208,0.7611323671176089,-1.5827979391407565,0.48506488002669085,0.5678164904984793,1233,52734,0185
spec-2033-53476-0444.fits,0.106720135,0.4463634254605579,0.8062390492027696,0.4583601160645893,0.8462451338226189,-0.7164950391062019,0.5536365745394419,0.5416398839354106,2033,53476,0444
spec-2172-54230-0362.fits,0.08809436,0.4930364568097525,0.9725284262200512,0.4540161041013333,0.8315558526759141,-0.6148215399378072,0.5069635431902476,0.5459838958986667,2172,54230,0362
spec-1757-53083-0290.fits,0.095944665,0.3867220535506267,0.6305820318333444,0.3740057914411879,0.597458868353173,0.0,0.6132779464493732,0.6259942085588119,1757,53083,0290
spec-0725-52258-0091.fits,0.10602841,0.5602399857711888,1.2739675451249437,0.4671176831073266,0.8765869466849052,-0.9703836930932466,0.4397600142288111,0.5328823168926733,0725,52258,0091
spec-1790-53876-0123.fits,0.05607351,0.2046300605673205,0.25727658341385,0.181403612785898,0.2216032413766961,-0.004397997593549,0.7953699394326791,0.8185963872141019,1790,53876,0123
spec-2140-53858-0446.fits,0.07328255,0.2392560364407793,0.3145027077459738,0.247474979148394,0.3288594695075193,-0.3300429232246612,0.7607439635592207,0.7525250208516058,2140,53858,0446
spec-2122-54178-0216.fits,0.061177712,0.1629998727587164,0.1947429486014022,0.1581838233071973,0.1879077970782712,0.0,0.8370001272412837,0.8418161766928028,2122,54178,0216
spec-1790-53876-0154.fits,0.104296036,0.6437912335899999,1.807342475252249,0.5823025007848751,1.3940770578685568,-1.3307621996602523,0.3562087664100002,0.4176974992151249,1790,53876,0154
spec-1305-52757-0179.fits,0.01317231,0.2652667675252828,0.3610382051616413,0.2340068021945745,0.3054946217081368,-0.2279720614872779,0.734733232474717,0.7659931978054256,1305,52757,0179
spec-2108-53473-0358.fits,0.06426459,0.1944411509451114,0.2413742350086986,0.1910708374686552,0.2362021871862625,0.0,0.8055588490548885,0.8089291625313444,2108,53473,0358
spec-1830-54560-0156.fits,0.09305653,0.6600004811373267,1.941180632681726,0.6239857707789579,1.659473823827407,-1.1224531429537885,0.3399995188626733,0.37601422922104216,1830,54560,0156
spec-1804-53886-0253.fits,0.038878135,0.6554358029067117,1.90221679569702,0.5527077331648207,1.235674690008637,-1.7087888956142556,0.3445641970932885,0.44729226683517925,1804,53886,0253
spec-2603-54479-0259.fits,0.067389965,0.3882653951907098,0.6346958176605891,0.4611044862046117,0.8556472904313085,-0.09993259497662,0.6117346048092902,0.5388955137953881,2603,54479,0259
spec-1762-53415-0033.fits,0.13971429,0.4769015586841042,0.9116860633046818,0.4158051588608331,0.7117576698384092,-1.3255065511190995,0.5230984413158959,0.584194841139167,1762,53415,0033
spec-2371-53762-0144.fits,0.11980208,0.514469912925245,1.0596045983985218,0.4715458331508163,0.8923116946211749,-0.4912698569768426,0.4855300870747549,0.5284541668491838,2371,53762,0144
spec-6449-56356-0718.fits,0.03155143,0.23811506580383,0.3125341572150319,0.2109829835410919,0.2673997887751257,-1.372165640933097,0.7618849341961699,0.7890170164589081,6449,56356,0718
